"Ochric epipedon"|0|0|0|60|66|70|60|66|70|"23051600"|"13312421"
"Argillic horizon"|60|66|70|200|200|200|130|134|140|"23051600"|"13312422"
"Cambic horizon"|10|23|30|80|86|90|55|63|70|"23051601"|"13312425"
"Aquic conditions"|61|69|76|200|200|200||131||"23051601"|"13312426"
"Ochric epipedon"|0|0|0|10|23|30|10|23|30|"23051601"|"13312424"
"Cambic horizon"|10|23|30|80|86|90|55|63|70|"23051602"|"13312428"
"Aquic conditions"|61|69|76|200|200|200||131||"23051602"|"13312429"
"Ochric epipedon"|0|0|0|10|23|30|10|23|30|"23051602"|"13312427"
"Fragipan"|55|74|95|100|122|140|5|48|85|"23051603"|"13312430"
"Ochric epipedon"|0|0|0|25|30|35|20|30|35|"23051603"|"13312431"
"Argillic horizon"|25|30|35|200|200|200|165|170|180|"23051603"|"13312432"
"Aquic conditions"|15|15|46|200|200|200|144|185|185|"23051604"|"13312435"
"Ochric epipedon"|0|0|0|15|46|56|15|46|56|"23051604"|"13312433"
"Argillic horizon"|15|46|56|200|200|200|144|154|185|"23051604"|"13312434"
"Fragipan"|46|53|84|76|84|152|0|31|106|"23051605"|"13312438"
"Ochric epipedon"|0|0|0|13|15|20|13|15|20|"23051605"|"13312436"
"Argillic horizon"|13|15|20|200|200|200|180|185|187|"23051605"|"13312437"
"Redox depletions with chroma 2 or less"|41|46|76|46|53|84||7||"23051605"|"13312439"
"Fragipan"|38|64|74|61|81|127|0|17|89|"23051606"|"13312442"
"Ochric epipedon"|0|0|0|20|28|36|20|28|36|"23051606"|"13312440"
"Argillic horizon"|8|28|51|200|200|200|149|172|192|"23051606"|"13312441"
"Redox depletions with chroma 2 or less"|30|43|61|38|64|74||21||"23051606"|"13312443"
"Ochric epipedon"|0|0|0|20|33|76|8|33|76|"23051607"|"13312444"
"Argillic horizon"|20|33|76|152|200|200|76|167|192|"23051607"|"13312445"
"Ochric epipedon"|0|0|0|13|32|53|13|32|53|"23051608"|"13312446"
"Argillic horizon"|13|32|53|200|200|200|147|168|187|"23051608"|"13312447"
"Strongly contrasting particle size class"|36|60|99|||||||"23051608"|"13312448"
"Ochric epipedon"|0|0|0|25|38|46||38||"23051609"|"13312449"
"Argillic horizon"|25|38|46|200|200|200||162||"23051609"|"13312450"
"Lithic contact"|30|46|51|||||||"23051610"|"13312451"
"Ochric epipedon"|0|0|0|6|8|10||8||"23051610"|"13312452"
"Argillic horizon"|6|8|10|30|46|51||38||"23051610"|"13312453"
"Lithic contact"|51|71|99|||||||"23051611"|"13312454"
"Ochric epipedon"|0|0|0|8|25|43||25||"23051611"|"13312455"
"Argillic horizon"|8|23|43|51|71|99||48||"23051611"|"13312456"
"Redox depletions with chroma 2 or less"|46|69|91|51|71|99||2||"23051611"|"13312457"
"Lithic contact"|0|0|0|||||||"23051612"|"13312458"
"Lithic contact"|51|71|99|||||||"23051613"|"13312459"
"Ochric epipedon"|0|0|0|8|25|43||25||"23051613"|"13312460"
"Argillic horizon"|8|23|43|51|71|99||48||"23051613"|"13312461"
"Redox depletions with chroma 2 or less"|46|69|91|51|71|99||2||"23051613"|"13312462"
"Lithic contact"|30|46|51|||||||"23051614"|"13312463"
"Ochric epipedon"|0|0|0|6|8|10||8||"23051614"|"13312464"
"Argillic horizon"|6|8|10|30|46|51||38||"23051614"|"13312465"
