|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394506"|"121800423"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394506"|"121800424"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394506"|"121800425"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"23394506"|"121800426"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394506"|"121800427"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394506"|"121800428"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394506"|"121800429"
|10||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394506"|"121800430"
|10||"QUNI"|"Quercus nigra"|"water oak"|"23394506"|"121800431"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394506"|"121800432"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394506"|"121800433"
|10||"ACSA2"|"Acer saccharinum"|"silver maple"|"23394483"|"121800398"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394483"|"121800399"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394483"|"121800400"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394483"|"121800401"
|7||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394483"|"121800402"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"23394483"|"121800403"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394483"|"121800404"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394483"|"121800405"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394483"|"121800406"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394483"|"121800407"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394483"|"121800408"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394483"|"121800409"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394525"|"121800434"
|10||"ACSA2"|"Acer saccharinum"|"silver maple"|"23394525"|"121800435"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394525"|"121800436"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394525"|"121800437"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"23394525"|"121800438"
|7||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394525"|"121800439"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394525"|"121800440"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394525"|"121800441"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394525"|"121800442"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394525"|"121800443"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394525"|"121800444"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394525"|"121800445"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394531"|"121800446"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394531"|"121800447"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394531"|"121800448"
|10||"ACSA2"|"Acer saccharinum"|"silver maple"|"23394531"|"121800449"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"23394531"|"121800450"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394531"|"121800451"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394531"|"121800452"
|7||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394531"|"121800453"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394531"|"121800454"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394531"|"121800455"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394531"|"121800456"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394531"|"121800457"
