"FSL"|No |Yes|"Fine sandy loam"|"69342673"|"140043870"
"SICL"|No |No |"Silty clay loam"|"69342684"|"140043894"
"SIL"|No |Yes|"Silt loam"|"69342684"|"140043895"
"L"|No |No |"Loam"|"69342684"|"140043896"
"C"|No |Yes|"Clay"|"69342610"|"140043742"
"SIL"|No |Yes|"Silt loam"|"69342685"|"140043897"
"SIL"|No |No |"Silt loam"|"69342599"|"140043720"
"L"|No |No |"Loam"|"69342599"|"140043721"
"LS"|No |Yes|"Loamy sand"|"69342599"|"140043722"
"FSL"|No |No |"Fine sandy loam"|"69342599"|"140043723"
"SIL"|No |Yes|"Silt loam"|"69342602"|"140043728"
"SIL"|No |No |"Silt loam"|"69342694"|"140043913"
"SICL"|No |Yes|"Silty clay loam"|"69342694"|"140043914"
"SR- SIL SICL"|Yes|Yes|"Stratified silt loam to silty clay loam"|"69342686"|"140043898"
"SIC"|No |No |"Silty clay"|"69342625"|"140043770"
"C"|No |Yes|"Clay"|"69342625"|"140043771"
"FSL"|No |No |"Fine sandy loam"|"69342577"|"140043678"
"L"|No |No |"Loam"|"69342577"|"140043679"
"SICL"|No |Yes|"Silty clay loam"|"69342577"|"140043680"
"SIC"|No |No |"Silty clay"|"69342662"|"140043847"
"C"|No |Yes|"Clay"|"69342662"|"140043848"
"SR VFSL SIC"|Yes|No |"SR to very fine sandy loam to silty clay"|"69342683"|"140043892"
"SIL"|No |Yes|"Silt loam"|"69342683"|"140043893"
"SIL"|No |No |"Silt loam"|"69342614"|"140043749"
"SICL"|No |Yes|"Silty clay loam"|"69342614"|"140043750"
"SICL"|No |No |"Silty clay loam"|"69342588"|"140043698"
"SIL"|No |Yes|"Silt loam"|"69342588"|"140043699"
"L"|No |No |"Loam"|"69342588"|"140043700"
"C"|No |Yes|"Clay"|"69342644"|"140043809"
"SIL"|No |Yes|"Silt loam"|"69342675"|"140043874"
"L"|No |No |"Loam"|"69342675"|"140043875"
"VFSL"|No |No |"Very fine sandy loam"|"69342576"|"140043675"
"SIL"|No |Yes|"Silt loam"|"69342576"|"140043676"
"SICL"|No |No |"Silty clay loam"|"69342576"|"140043677"
"CL"|No |No |"Clay loam"|"69342651"|"140043823"
"SIL"|No |Yes|"Silt loam"|"69342651"|"140043824"
"SICL"|No |No |"Silty clay loam"|"69342651"|"140043825"
"SIL"|No |Yes|"Silt loam"|"69342613"|"140043746"
"SICL"|No |No |"Silty clay loam"|"69342613"|"140043747"
"VFSL"|No |No |"Very fine sandy loam"|"69342613"|"140043748"
"C"|No |Yes|"Clay"|"69342633"|"140043783"
"CL"|No |No |"Clay loam"|"69342655"|"140043834"
"SIL"|No |Yes|"Silt loam"|"69342655"|"140043835"
"SICL"|No |No |"Silty clay loam"|"69342655"|"140043836"
"SR VFSL SIC"|Yes|No |"SR to very fine sandy loam to silty clay"|"69342587"|"140043696"
"SIL"|No |Yes|"Silt loam"|"69342587"|"140043697"
"SIC"|No |No |"Silty clay"|"69342664"|"140043852"
"C"|No |Yes|"Clay"|"69342664"|"140043853"
"C"|No |Yes|"Clay"|"69342592"|"140043706"
"C"|No |Yes|"Clay"|"69342598"|"140043719"
"C"|No |No |"Clay"|"69342631"|"140043780"
"SIC"|No |Yes|"Silty clay"|"69342631"|"140043781"
"SIL"|No |Yes|"Silt loam"|"69342642"|"140043803"
"FSL"|No |No |"Fine sandy loam"|"69342642"|"140043804"
"L"|No |No |"Loam"|"69342642"|"140043805"
"SICL"|No |No |"Silty clay loam"|"69342642"|"140043806"
"VFSL"|No |No |"Very fine sandy loam"|"69342603"|"140043729"
"SICL"|No |No |"Silty clay loam"|"69342603"|"140043730"
"SIL"|No |Yes|"Silt loam"|"69342603"|"140043731"
"SICL"|No |No |"Silty clay loam"|"69342624"|"140043767"
"C"|No |No |"Clay"|"69342624"|"140043768"
"SIC"|No |Yes|"Silty clay"|"69342624"|"140043769"
