"CAAL27"|"Carya alba"|"mockernut hickory"|"21291779"|"36079695"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291779"|"36079696"
"QUSH"|"Quercus shumardii"|"Shumard's oak"|"21291779"|"36079697"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291779"|"36079698"
"CECA4"|"Cercis canadensis"|"eastern redbud"|"21291779"|"36079699"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291779"|"36079700"
"FAGR"|"Fagus grandifolia"|"American beech"|"21291779"|"36079701"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291779"|"36079702"
"LITU"|"Liriodendron tulipifera"|"tuliptree"|"21291779"|"36079703"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291779"|"36079704"
"QUAL"|"Quercus alba"|"white oak"|"21291779"|"36079705"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291779"|"36079706"
"QURU"|"Quercus rubra"|"northern red oak"|"21291779"|"36079707"
"ACRU"|"Acer rubrum"|"red maple"|"21291781"|"36079708"
"CALA21"|"Carya laciniosa"|"shellbark hickory"|"21291781"|"36079709"
"CAIL2"|"Carya illinoinensis"|"pecan"|"21291781"|"36079710"
"ACSA2"|"Acer saccharinum"|"silver maple"|"21291781"|"36079711"
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21291781"|"36079712"
"PLOC"|"Platanus occidentalis"|"American sycamore"|"21291781"|"36079713"
"CRVI2"|"Crataegus viridis"|"green hawthorn"|"21291781"|"36079714"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291781"|"36079715"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291781"|"36079716"
"PITA"|"Pinus taeda"|"loblolly pine"|"21291781"|"36079717"
"QUPA2"|"Quercus palustris"|"pin oak"|"21291781"|"36079718"
"SANI"|"Salix nigra"|"black willow"|"21291781"|"36079719"
"ACRU"|"Acer rubrum"|"red maple"|"21291782"|"36079720"
"ACSA2"|"Acer saccharinum"|"silver maple"|"21291782"|"36079721"
"CAIL2"|"Carya illinoinensis"|"pecan"|"21291782"|"36079722"
"CALA21"|"Carya laciniosa"|"shellbark hickory"|"21291782"|"36079723"
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21291782"|"36079724"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291782"|"36079725"
"CRVI2"|"Crataegus viridis"|"green hawthorn"|"21291782"|"36079726"
"PLOC"|"Platanus occidentalis"|"American sycamore"|"21291782"|"36079727"
"PITA"|"Pinus taeda"|"loblolly pine"|"21291782"|"36079728"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291782"|"36079729"
"QUPA2"|"Quercus palustris"|"pin oak"|"21291782"|"36079730"
"SANI"|"Salix nigra"|"black willow"|"21291782"|"36079731"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291783"|"36079732"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291783"|"36079733"
"CAGL8"|"Carya glabra"|"pignut hickory"|"21291783"|"36079734"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291783"|"36079735"
"CATE9"|"Carya texana"|"black hickory"|"21291783"|"36079736"
"CAAL27"|"Carya alba"|"mockernut hickory"|"21291783"|"36079737"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291783"|"36079738"
"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"21291783"|"36079739"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291783"|"36079740"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291783"|"36079741"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291783"|"36079742"
"QUIM"|"Quercus imbricaria"|"Shingle oak"|"21291783"|"36079743"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291783"|"36079744"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291783"|"36079745"
"QUVE"|"Quercus velutina"|"black oak"|"21291783"|"36079746"
"QUMA3"|"Quercus marilandica"|"blackjack oak"|"21291783"|"36079747"
"UNKNOWN"|"unknown scientific name"|"chinkapin oak"|"21291783"|"36079748"
"QURU"|"Quercus rubra"|"northern red oak"|"21291783"|"36079749"
"QUST"|"Quercus stellata"|"post oak"|"21291783"|"36079750"
"SAAL5"|"Sassafras albidum"|"sassafras"|"21291783"|"36079751"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291784"|"36079752"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291784"|"36079753"
"ASTR"|"Asimina triloba"|"pawpaw"|"21291784"|"36079754"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291784"|"36079755"
"MORU2"|"Morus rubra"|"red mulberry"|"21291784"|"36079756"
"JUNI"|"Juglans nigra"|"black walnut"|"21291784"|"36079757"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291784"|"36079758"
"CAAL27"|"Carya alba"|"mockernut hickory"|"21291784"|"36079759"
"PRSE2"|"Prunus serotina"|"black cherry"|"21291784"|"36079760"
"QUSH"|"Quercus shumardii"|"Shumard's oak"|"21291784"|"36079761"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291784"|"36079762"
"CECA4"|"Cercis canadensis"|"eastern redbud"|"21291784"|"36079763"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291784"|"36079764"
"FAGR"|"Fagus grandifolia"|"American beech"|"21291784"|"36079765"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291784"|"36079766"
"LITU"|"Liriodendron tulipifera"|"tuliptree"|"21291784"|"36079767"
"QUVE"|"Quercus velutina"|"black oak"|"21291784"|"36079768"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291784"|"36079769"
"QUAL"|"Quercus alba"|"white oak"|"21291784"|"36079770"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291784"|"36079771"
"TIAM"|"Tilia americana"|"American basswood"|"21291784"|"36079772"
"QURU"|"Quercus rubra"|"northern red oak"|"21291784"|"36079773"
"ACRU"|"Acer rubrum"|"red maple"|"21291785"|"36079774"
"CALA21"|"Carya laciniosa"|"shellbark hickory"|"21291785"|"36079775"
"CAIL2"|"Carya illinoinensis"|"pecan"|"21291785"|"36079776"
"ACSA2"|"Acer saccharinum"|"silver maple"|"21291785"|"36079777"
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21291785"|"36079778"
"PLOC"|"Platanus occidentalis"|"American sycamore"|"21291785"|"36079779"
"CRVI2"|"Crataegus viridis"|"green hawthorn"|"21291785"|"36079780"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291785"|"36079781"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291785"|"36079782"
"PITA"|"Pinus taeda"|"loblolly pine"|"21291785"|"36079783"
"QUPA2"|"Quercus palustris"|"pin oak"|"21291785"|"36079784"
"SANI"|"Salix nigra"|"black willow"|"21291785"|"36079785"
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21291789"|"36079786"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291789"|"36079787"
"CRVI2"|"Crataegus viridis"|"green hawthorn"|"21291789"|"36079788"
"PLOC"|"Platanus occidentalis"|"American sycamore"|"21291789"|"36079789"
"ACRU"|"Acer rubrum"|"red maple"|"21291789"|"36079790"
"PITA"|"Pinus taeda"|"loblolly pine"|"21291789"|"36079791"
"CAIL2"|"Carya illinoinensis"|"pecan"|"21291789"|"36079792"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291789"|"36079793"
"ACSA2"|"Acer saccharinum"|"silver maple"|"21291789"|"36079794"
"QUPA2"|"Quercus palustris"|"pin oak"|"21291789"|"36079795"
"SANI"|"Salix nigra"|"black willow"|"21291789"|"36079796"
"CALA21"|"Carya laciniosa"|"shellbark hickory"|"21291789"|"36079797"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291790"|"36079798"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291790"|"36079799"
"CAGL8"|"Carya glabra"|"pignut hickory"|"21291790"|"36079800"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291790"|"36079801"
"CATE9"|"Carya texana"|"black hickory"|"21291790"|"36079802"
"CAAL27"|"Carya alba"|"mockernut hickory"|"21291790"|"36079803"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291790"|"36079804"
"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"21291790"|"36079805"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291790"|"36079806"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291790"|"36079807"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291790"|"36079808"
"QUIM"|"Quercus imbricaria"|"Shingle oak"|"21291790"|"36079809"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291790"|"36079810"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291790"|"36079811"
"QUVE"|"Quercus velutina"|"black oak"|"21291790"|"36079812"
"QUMA3"|"Quercus marilandica"|"blackjack oak"|"21291790"|"36079813"
"UNKNOWN"|"unknown scientific name"|"chinkapin oak"|"21291790"|"36079814"
"QURU"|"Quercus rubra"|"northern red oak"|"21291790"|"36079815"
"QUST"|"Quercus stellata"|"post oak"|"21291790"|"36079816"
"SAAL5"|"Sassafras albidum"|"sassafras"|"21291790"|"36079817"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291791"|"36079818"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291791"|"36079819"
"CAGL8"|"Carya glabra"|"pignut hickory"|"21291791"|"36079820"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291791"|"36079821"
"CATE9"|"Carya texana"|"black hickory"|"21291791"|"36079822"
"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"21291791"|"36079823"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291791"|"36079824"
"CAAL27"|"Carya alba"|"mockernut hickory"|"21291791"|"36079825"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291791"|"36079826"
"QUIM"|"Quercus imbricaria"|"Shingle oak"|"21291791"|"36079827"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291791"|"36079828"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291791"|"36079829"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291791"|"36079830"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291791"|"36079831"
"QUVE"|"Quercus velutina"|"black oak"|"21291791"|"36079832"
"QUMA3"|"Quercus marilandica"|"blackjack oak"|"21291791"|"36079833"
"UNKNOWN"|"unknown scientific name"|"chinkapin oak"|"21291791"|"36079834"
"QURU"|"Quercus rubra"|"northern red oak"|"21291791"|"36079835"
"QUST"|"Quercus stellata"|"post oak"|"21291791"|"36079836"
"SAAL5"|"Sassafras albidum"|"sassafras"|"21291791"|"36079837"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21291792"|"36079838"
"QUAL"|"Quercus alba"|"white oak"|"21291792"|"36079839"
"QURU"|"Quercus rubra"|"northern red oak"|"21291792"|"36079840"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291793"|"36079841"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291793"|"36079842"
"ASTR"|"Asimina triloba"|"pawpaw"|"21291793"|"36079843"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291793"|"36079844"
"MORU2"|"Morus rubra"|"red mulberry"|"21291793"|"36079845"
"JUNI"|"Juglans nigra"|"black walnut"|"21291793"|"36079846"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291793"|"36079847"
"CAAL27"|"Carya alba"|"mockernut hickory"|"21291793"|"36079848"
"PRSE2"|"Prunus serotina"|"black cherry"|"21291793"|"36079849"
"QUSH"|"Quercus shumardii"|"Shumard's oak"|"21291793"|"36079850"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291793"|"36079851"
"CECA4"|"Cercis canadensis"|"eastern redbud"|"21291793"|"36079852"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291793"|"36079853"
"FAGR"|"Fagus grandifolia"|"American beech"|"21291793"|"36079854"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291793"|"36079855"
"LITU"|"Liriodendron tulipifera"|"tuliptree"|"21291793"|"36079856"
"QUVE"|"Quercus velutina"|"black oak"|"21291793"|"36079857"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291793"|"36079858"
"QUAL"|"Quercus alba"|"white oak"|"21291793"|"36079859"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291793"|"36079860"
"TIAM"|"Tilia americana"|"American basswood"|"21291793"|"36079861"
"QURU"|"Quercus rubra"|"northern red oak"|"21291793"|"36079862"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291794"|"36079863"
"QUFA"|"Quercus falcata"|"southern red oak"|"21291794"|"36079864"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21291794"|"36079865"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291794"|"36079866"
"MORU2"|"Morus rubra"|"red mulberry"|"21291794"|"36079867"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291794"|"36079868"
"CAGL8"|"Carya glabra"|"pignut hickory"|"21291794"|"36079869"
"QUAL"|"Quercus alba"|"white oak"|"21291794"|"36079870"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291794"|"36079871"
"QUIM"|"Quercus imbricaria"|"Shingle oak"|"21291794"|"36079872"
"QUMA2"|"Quercus macrocarpa"|"bur oak"|"21291794"|"36079873"
"QURU"|"Quercus rubra"|"northern red oak"|"21291794"|"36079874"
"QUVE"|"Quercus velutina"|"black oak"|"21291794"|"36079875"
"QUST"|"Quercus stellata"|"post oak"|"21291794"|"36079876"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291794"|"36079877"
"SAAL5"|"Sassafras albidum"|"sassafras"|"21291794"|"36079878"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21291795"|"36079879"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291795"|"36079880"
